"","Variety","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","L024","L025","L034","L035","L036","L037","L075","L087","L019","L029","L093","L030","L176","L023","L027","L184","L012","L155"
"N0180",-8.76722425209606,NA,NA,NA,0.14276511596274,-0.674734641325967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.55166216550224,-5.79766283625505,12.9900986534913,-1.00885820018362,-3.45375914382027,19.3532544674129,-13.9786637269455,-2.42156590903693,-1.82548456524389,NA,-12.8691878473883,10.2485739570268,NA,NA,NA,NA,NA,NA
"N0181",-5.95371306416269,NA,NA,NA,-0.361253895397146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.93731066260902,-3.22814345800255,-2.09193495028821,4.13410435406898,0.263309060570906,1.33580980628882,-3.7933478318073,NA,3.68196808711632,NA,1.70533885430803,NA,NA,NA,NA,NA,NA,NA
"N0182",8.54851192630255,NA,NA,NA,0.5186987011206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99119956044546,-2.62056392342756,-3.15362119950748,3.40627126160854,-1.29915692378664,0.941829870587236,-1.3495759350586,NA,4.12262104331189,NA,5.15067022133329,NA,NA,NA,NA,NA,NA,NA
"N0183",-2.60704575867068,NA,NA,NA,-0.158187911585371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.64301392843378,-3.26769988058618,-1.63071163773353,3.92762135310592,-0.77780683228927,-0.706865556847944,-1.99671189221722,NA,4.81089771318869,NA,3.00119505875982,NA,NA,NA,NA,NA,NA,NA
"N0259",-2.06413474988875,NA,NA,NA,-0.999217076410373,0.873971416939457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.0098744140501,-6.91764472488832,11.7877201694415,5.08025254936685,-1.60282511845048,15.4236226057922,-2.31030509382547,-5.66365588130339,-2.21794388841552,NA,-2.38160398021984,1.79636374673959,NA,NA,NA,NA,NA,NA
"N0163",7.46492441543196,NA,NA,NA,NA,0.452949780222733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.94159583830003,-4.09619765697452,2.36022031122298,0.703375971798765,0.329616729859191,7.40395719040497,2.15655740211592,0.568892880520704,-0.88806100759825,NA,-6.22152259218496,4.29872806234491,NA,NA,NA,NA,NA,NA
"N0251",8.37712419772149,NA,NA,NA,NA,-0.826451553090883,1.3347509481136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66525727313834,4.30309526656239,-6.53304818571232,0.985392150933576,-6.69953098470081,-5.33405961193769,-0.941541151377936,5.35013119070144,10.3390188687421,NA,-4.94208156827815,-1.06970936436748,NA,NA,NA,NA,NA,NA
"N0252",3.89082996840712,NA,NA,NA,NA,-2.01618222672255,2.2522664093615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56506524429227,0.178311800817246,-0.683954154696544,4.08820673626332,-7.56775529238054,-0.311247669791889,1.5425214134141,9.03117204707579,0.685363487329965,NA,-5.81055665345011,-1.80219822849215,NA,NA,NA,NA,NA,NA
"N0253",16.6619776353365,NA,NA,NA,NA,1.01100007019459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04396083504668,-6.4679308124524,6.13637730431806,1.57636261695662,4.95964735470051,2.47060313968836,3.20031877362303,1.61265425202781,1.39797605560935,NA,-3.64078868353461,-2.0008237991657,NA,NA,NA,NA,NA,NA
"N0255",-4.43533387587075,NA,NA,NA,NA,-0.269123087185501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.35328791130303,-4.48324137188201,3.51014913345873,-1.04986555390272,-1.4236247958423,8.04156183359296,0.574090602763682,-3.06287063502252,1.56563330140796,NA,-2.68074760105973,1.17928872584943,NA,NA,NA,NA,NA,NA
